Vertices,Edges,Threads,Time_ms,Type
10,50,1,0,Serial
10,50,1,1,Parallel
10,50,2,1,Parallel
10,50,4,1,Parallel
10,50,8,3,Parallel
10,50,12,1,Parallel
10,50,16,1,Parallel

100,500,1,0,Serial
100,500,1,0,Parallel
100,500,2,0,Parallel
100,500,4,1,Parallel
100,500,8,1,Parallel
100,500,12,1,Parallel
100,500,16,1,Parallel

1000,5000,1,1,Serial
1000,5000,1,0,Parallel
1000,5000,2,1,Parallel
1000,5000,4,1,Parallel
1000,5000,8,1,Parallel
1000,5000,12,2,Parallel
1000,5000,16,2,Parallel

10000,50000,1,3,Serial
10000,50000,1,2,Parallel
10000,50000,2,5,Parallel
10000,50000,4,5,Parallel
10000,50000,8,1,Parallel
10000,50000,12,1,Parallel
10000,50000,16,1,Parallel

10000,100000,1,2,Serial
10000,100000,1,3,Parallel
10000,100000,2,1,Parallel
10000,100000,4,1,Parallel
10000,100000,8,1,Parallel
10000,100000,12,1,Parallel
10000,100000,16,1,Parallel

50000,1000000,1,22,Serial
50000,1000000,1,19,Parallel
50000,1000000,2,9,Parallel
50000,1000000,4,6,Parallel
50000,1000000,8,4,Parallel
50000,1000000,12,5,Parallel
50000,1000000,16,4,Parallel

100000,1000000,1,21,Serial
100000,1000000,1,29,Parallel
100000,1000000,2,14,Parallel
100000,1000000,4,8,Parallel
100000,1000000,8,4,Parallel
100000,1000000,12,30,Parallel
100000,1000000,16,3,Parallel

1000000,10000000,1,710,Serial
1000000,10000000,1,394,Parallel
1000000,10000000,2,195,Parallel
1000000,10000000,4,100,Parallel
1000000,10000000,8,54,Parallel
1000000,10000000,12,54,Parallel
1000000,10000000,16,54,Parallel

1500000,10000000,1,841,Serial
1500000,10000000,1,898,Parallel
1500000,10000000,2,625,Parallel
1500000,10000000,4,502,Parallel
1500000,10000000,8,853,Parallel
1500000,10000000,12,454,Parallel
1500000,10000000,16,438,Parallel

2000000,10000000,1,1423,Serial
2000000,10000000,1,1018,Parallel
2000000,10000000,2,1370,Parallel
2000000,10000000,4,1090,Parallel
2000000,10000000,8,1130,Parallel
2000000,10000000,12,1008,Parallel
2000000,10000000,16,989,Parallel
